,0
0,98.0
1,96.0
2,92.0
3,91.0
4,93.0
5,95.0
6,99.0
7,102.0
8,106.0
9,110.0
10,114.0
11,111.0
12,109.0
13,108.0
14,108.0
15,108.0
16,109.0
17,110.0
18,107.0
19,105.0
20,103.0
21,103.0
22,104.0
23,102.0
24,101.0
25,100.0
26,102.0
27,105.0
28,105.0
29,102.0
30,100.0
31,100.0
32,101.0
33,102.0
34,103.0
35,102.0
36,99.0
37,97.0
38,97.0
39,101.0
40,101.0
41,101.0
42,101.0
43,100.0
44,101.0
45,103.0
46,105.0
47,106.0
48,106.0
49,104.0
50,103.0
51,102.0
52,101.0
53,103.0
54,104.0
55,106.0
56,105.0
57,104.0
58,106.0
59,106.0
60,104.0
61,102.0
62,100.0
63,97.0
64,96.0
65,99.0
66,101.0
67,101.0
68,103.0
69,105.0
70,105.0
71,105.0
72,104.0
73,103.0
74,102.0
75,101.0
76,103.0
77,105.0
78,106.0
79,106.0
80,107.0
81,110.0
82,111.0
83,111.0
84,111.0
85,111.0
86,111.0
87,111.0
88,111.0
89,112.0
90,112.0
91,114.0
92,115.0
93,118.0
94,120.0
95,122.0
96,121.0
97,119.0
98,117.0
99,116.0
100,117.0
101,116.0
102,114.0
103,109.0
104,107.0
105,107.0
106,108.0
107,108.0
108,106.0
109,105.0
110,106.0
111,107.0
112,111.0
113,112.0
114,113.0
115,114.0
116,113.0
117,112.0
118,113.0
119,114.0
120,114.0
121,114.0
122,112.0
123,111.0
124,110.0
125,111.0
126,114.0
127,116.0
128,118.0
129,117.0
130,113.0
131,109.0
132,108.0
133,108.0
134,108.0
135,107.0
136,107.0
137,107.0
138,107.0
139,109.0
140,107.0
141,104.0
142,102.0
143,101.0
144,102.0
145,99.0
146,99.0
147,103.0
148,106.0
149,106.0
150,105.0
151,105.0
152,103.0
153,102.0
154,100.0
155,100.0
156,98.0
157,98.0
158,97.0
159,95.0
160,97.0
161,102.0
162,104.0
163,103.0
164,100.0
165,100.0
166,101.0
167,103.0
168,101.0
169,101.0
170,105.0
171,105.0
172,104.0
173,104.0
174,106.0
175,109.0
176,112.0
177,113.0
178,114.0
179,114.0
180,115.0
181,116.0
182,117.0
183,118.0
184,120.0
185,122.0
186,123.0
187,124.0
188,124.0
189,124.0
190,124.0
191,125.0
192,128.0
193,131.0
194,134.0
195,138.0
196,142.0
197,145.0
198,147.0
199,147.0
200,147.0
201,146.0
202,145.0
203,143.0
204,143.0
205,143.0
206,141.0
207,139.0
208,136.0
209,137.0
210,137.0
211,139.0
212,137.0
213,133.0
214,127.0
215,125.0
216,126.0
217,127.0
218,129.0
219,129.0
220,130.0
221,132.0
222,134.0
223,134.0
224,137.0
225,139.0
226,142.0
227,143.0
228,143.0
229,143.0
230,143.0
231,143.0
232,142.0
233,141.0
234,141.0
235,138.0
236,132.0
237,130.0
238,131.0
239,134.0
240,138.0
241,141.0
242,143.0
243,142.0
244,139.0
245,135.0
246,133.0
247,134.0
248,136.0
249,137.0
250,137.0
251,138.0
252,139.0
253,139.0
254,136.0
255,134.0
256,134.0
257,133.0
258,133.0
259,132.0
260,131.0
261,129.0
262,127.0
263,126.0
264,126.0
265,126.0
266,126.0
267,127.0
268,130.0
269,133.0
270,135.0
271,137.0
272,138.0
273,139.0
274,138.0
275,136.0
276,135.0
277,134.0
278,134.0
279,134.0
280,133.0
281,132.0
282,131.0
283,130.0
284,131.0
285,130.0
286,128.0
287,127.0
288,127.0
289,127.0
290,127.0
291,125.0
292,124.0
293,122.0
294,123.0
295,123.0
296,123.0
297,124.0
298,128.0
299,129.0
300,128.0
301,126.0
302,125.0
303,127.0
304,129.0
305,131.0
306,132.0
307,132.0
308,132.0
309,131.0
310,130.0
311,130.0
312,130.0
313,126.0
314,125.0
315,128.0
316,130.0
317,133.0
318,134.0
319,134.0
320,134.0
321,134.0
322,134.0
323,134.0
324,134.0
325,135.0
326,136.0
327,135.0
328,134.0
329,134.0
330,131.0
331,127.0
332,125.0
333,125.0
334,125.0
335,127.0
336,128.0
337,129.0
338,128.0
339,125.0
340,123.0
341,124.0
342,124.0
343,122.0
344,123.0
345,123.0
346,126.0
347,129.0
348,133.0
349,135.0
350,137.0
351,138.0
352,138.0
353,139.0
354,140.0
355,140.0
356,140.0
357,139.0
358,139.0
359,138.0
360,137.0
361,136.0
362,135.0
363,135.0
364,135.0
365,133.0
366,133.0
367,134.0
368,135.0
369,137.0
370,138.0
371,137.0
372,136.0
373,135.0
374,134.0
375,133.0
376,133.0
377,132.0
378,132.0
379,132.0
380,133.0
381,135.0
382,136.0
383,134.0
384,132.0
385,129.0
386,129.0
387,130.0
388,132.0
389,133.0
390,133.0
391,132.0
392,131.0
393,132.0
394,132.0
395,132.0
396,132.0
397,131.0
398,130.0
399,131.0
400,131.0
401,133.0
402,135.0
403,136.0
404,138.0
405,139.0
406,140.0
407,142.0
408,144.0
409,147.0
410,149.0
411,151.0
412,152.0
413,152.0
414,152.0
415,153.0
416,154.0
417,155.0
418,155.0
419,156.0
420,157.0
421,157.0
422,157.0
423,157.0
424,156.0
425,155.0
426,154.0
427,155.0
428,155.0
429,154.0
430,154.0
431,152.0
432,151.0
433,150.0
434,149.0
435,148.0
436,147.0
437,148.0
438,149.0
439,149.0
440,148.0
441,146.0
442,145.0
443,145.0
444,142.0
445,140.0
446,139.0
447,139.0
448,135.0
449,131.0
450,128.0
451,127.0
452,127.0
453,127.0
454,126.0
455,124.0
456,123.0
457,122.0
458,121.0
459,122.0
460,125.0
461,124.0
462,122.0
463,119.0
464,116.0
465,114.0
466,113.0
467,112.0
468,113.0
469,113.0
470,115.0
471,118.0
472,116.0
473,114.0
474,113.0
475,113.0
476,116.0
477,118.0
478,116.0
479,116.0
480,116.0
481,117.0
482,118.0
483,119.0
484,119.0
485,120.0
486,120.0
487,120.0
488,121.0
489,124.0
490,126.0
491,128.0
492,126.0
493,122.0
494,121.0
495,120.0
496,121.0
497,121.0
498,120.0
499,120.0
500,120.0
501,121.0
502,123.0
503,124.0
504,125.0
505,125.0
506,124.0
507,124.0
508,124.0
509,124.0
510,125.0
511,124.0
512,124.0
513,123.0
514,123.0
515,124.0
516,125.0
517,126.0
518,126.0
519,123.0
520,122.0
521,123.0
522,123.0
523,124.0
524,125.0
525,124.0
526,124.0
527,125.0
528,122.0
529,117.0
530,115.0
531,113.0
532,113.0
533,113.0
534,115.0
535,117.0
536,118.0
537,119.0
538,118.0
539,119.0
540,120.0
541,118.0
542,115.0
543,114.0
544,114.0
545,116.0
546,116.0
547,115.0
548,114.0
549,114.0
550,114.0
551,113.0
552,110.0
553,110.0
554,111.0
555,110.0
556,107.0
557,105.0
558,106.0
559,108.0
560,109.0
561,107.0
562,105.0
563,103.0
564,103.0
565,102.0
566,103.0
567,104.0
568,106.0
569,107.0
570,108.0
571,108.0
572,108.0
573,107.0
574,103.0
575,101.0
576,104.0
577,107.0
578,109.0
579,109.0
580,105.0
581,104.0
582,104.0
583,106.0
584,108.0
585,109.0
586,108.0
587,106.0
588,107.0
589,108.0
590,110.0
591,110.0
592,110.0
593,109.0
594,107.0
595,106.0
596,105.0
597,104.0
598,103.0
599,104.0
600,107.0
601,108.0
602,106.0
603,105.0
604,106.0
605,109.0
606,114.0
607,115.0
608,115.0
609,115.0
610,114.0
611,111.0
612,106.0
613,104.0
614,104.0
615,105.0
616,106.0
617,107.0
618,108.0
619,107.0
620,106.0
621,105.0
622,106.0
623,107.0
624,106.0
625,106.0
626,104.0
627,104.0
628,105.0
629,106.0
630,107.0
631,106.0
632,107.0
633,106.0
634,106.0
635,104.0
636,105.0
637,107.0
638,107.0
639,107.0
640,108.0
641,110.0
642,111.0
643,111.0
644,112.0
645,111.0
646,107.0
647,105.0
648,105.0
649,106.0
650,106.0
651,104.0
652,86.0
653,87.0
654,88.0
655,86.0
656,85.0
657,88.0
658,93.0
659,94.0
660,94.0
661,93.0
662,94.0
663,95.0
664,98.0
665,99.0
666,99.0
667,99.0
668,99.0
669,98.0
670,97.0
671,97.0
672,95.0
673,93.0
674,92.0
675,91.0
676,93.0
677,95.0
678,98.0
679,101.0
680,102.0
681,101.0
682,99.0
683,100.0
684,102.0
685,103.0
686,103.0
687,102.0
688,101.0
689,98.0
690,99.0
691,97.0
692,97.0
693,92.0
694,89.0
695,86.0
696,86.0
697,89.0
698,87.0
699,87.0
700,88.0
701,88.0
702,88.0
703,89.0
704,89.0
705,89.0
706,91.0
707,90.0
708,90.0
709,87.0
710,86.0
711,85.0
712,82.0
713,80.0
714,81.0
715,83.0
716,87.0
717,90.0
718,90.0
719,89.0
720,92.0
721,95.0
722,100.0
723,106.0
724,111.0
725,113.0
726,114.0
727,114.0
728,112.0
729,110.0
730,111.0
731,112.0
732,112.0
733,112.0
734,111.0
735,112.0
736,113.0
737,112.0
738,109.0
739,107.0
740,107.0
741,107.0
742,107.0
743,106.0
744,106.0
745,107.0
746,109.0
747,112.0
748,114.0
749,114.0
750,114.0
751,111.0
752,109.0
753,107.0
754,105.0
755,102.0
756,103.0
757,105.0
758,109.0
759,111.0
760,113.0
761,113.0
762,112.0
763,112.0
764,114.0
765,116.0
766,113.0
767,108.0
768,105.0
769,103.0
770,103.0
771,101.0
772,101.0
773,103.0
774,105.0
775,104.0
776,104.0
777,106.0
778,109.0
779,110.0
780,112.0
781,115.0
782,118.0
783,121.0
784,125.0
785,129.0
786,131.0
787,127.0
788,122.0
