,0
799,120
800,118
801,118
802,116
803,111
804,110
805,106
806,99
807,101
808,104
809,97
810,96
811,99
812,101
813,99
814,97
815,95
816,96
817,98
818,95
819,95
820,98
821,103
822,106
823,102
824,95
825,99
826,98
827,96
828,93
829,93
830,98
831,101
832,100
833,98
834,100
835,101
836,101
837,102
838,104
839,102
840,94
841,95
842,96
843,97
844,96
845,94
846,91
847,88
848,84
849,83
850,83
851,91
852,99
853,104
854,106
855,106
856,107
857,111
858,112
859,115
860,120
861,121
862,123
863,127
864,129
865,130
866,132
867,132
868,136
869,140
870,142
871,147
872,152
873,156
874,159
875,161
876,161
877,160
878,161
879,161
880,160
881,158
882,156
883,155
884,153
885,148
886,142
887,138
888,136
889,137
890,137
891,135
892,128
893,124
894,121
895,120
896,116
897,115
898,117
899,116
900,113
901,111
902,95
903,97
904,96
905,90
906,89
907,91
908,89
909,88
910,90
911,94
912,100
913,121
914,123
915,123
916,122
917,114
918,115
919,121
920,124
921,126
922,130
923,132
924,133
925,130
926,127
927,126
928,123
929,122
930,119
931,115
932,118
933,123
934,125
935,126
936,124
937,115
938,116
939,117
940,122
941,117
942,115
943,116
944,123
945,123
946,122
947,118
948,119
949,116
950,116
951,119
952,124
953,132
954,134
955,131
956,130
957,130
958,128
959,128
960,130
961,130
962,128
963,128
964,129
965,131
966,125
967,112
968,109
969,106
970,99
971,89
972,90
973,83
974,78
975,78
976,80
977,81
978,83
979,83
980,82
981,78
982,79
983,78
984,79
985,79
986,77
987,80
988,82
989,87
990,99
991,106
992,105
993,101
994,101
995,105
996,106
997,108
998,111
999,116
1000,115
1001,116
1002,121
1003,122
1004,124
1005,125
1006,110
1007,108
1008,110
1009,121
1010,127
1011,131
1012,136
1013,138
1014,140
1015,139
1016,139
1017,141
1018,144
1019,149
1020,150
1021,150
1022,149
1023,148
1024,147
1025,146
1026,145
1027,141
1028,140
1029,139
1030,138
1031,139
1032,141
1033,142
1034,141
1035,142
1036,143
1037,145
1038,145
1039,146
1040,143
1041,139
1042,135
1043,134
1044,135
1045,133
1046,133
1047,133
1048,135
1049,134
1050,132
1051,124
1052,124
1053,124
1054,121
1055,119
1056,118
1057,119
1058,115
1059,115
1060,113
1061,112
1062,115
1063,118
1064,119
1065,119
1066,96
1067,93
1068,94
1069,97
1070,96
1071,91
1072,93
1073,96
1074,97
1075,99
1076,102
1077,103
1078,105
1079,110
1080,104
1081,95
1082,94
1083,99
1084,107
1085,105
1086,101
1087,100
1088,103
1089,107
1090,111
1091,106
1092,107
1093,109
1094,108
1095,108
1096,107
1097,107
1098,108
1099,125
1100,133
1101,135
1102,139
1103,136
1104,129
1105,126
1106,127
1107,125
1108,126
1109,128
1110,131
1111,131
1112,131
1113,132
1114,130
1115,130
1116,129
1117,129
1118,129
1119,129
1120,122
1121,119
1122,121
1123,122
1124,119
1125,118
1126,121
1127,121
1128,114
1129,112
1130,111
1131,108
1132,109
1133,107
1134,103
1135,104
1136,106
1137,107
1138,92
1139,91
1140,96
1141,100
1142,85
1143,83
1144,82
1145,82
1146,85
1147,88
1148,90
1149,91
1150,95
1151,95
1152,95
1153,97
1154,100
1155,106
1156,110
1157,111
1158,112
1159,114
1160,116
1161,112
1162,111
1163,111
1164,110
1165,112
1166,117
1167,122
1168,127
1169,131
1170,133
1171,136
1172,138
1173,144
1174,148
1175,152
1176,156
1177,156
1178,155
1179,155
1180,156
1181,157
1182,155
1183,154
1184,155
1185,154
1186,153
