,0
0,92.0
1,91.0
2,89.0
3,89.0
4,92.0
5,92.0
6,101.0
7,104.0
8,103.0
9,102.0
10,105.0
11,100.0
12,100.0
13,99.0
14,97.0
15,100.0
16,106.0
17,106.0
18,100.0
19,100.0
20,102.0
21,104.0
22,104.0
23,109.0
24,114.0
25,112.0
26,104.0
27,97.0
28,95.0
29,93.0
30,95.0
31,99.0
32,102.0
33,102.0
34,98.0
35,98.0
36,105.0
37,110.0
38,112.0
39,111.0
40,110.0
41,107.0
42,100.0
43,101.0
44,97.0
45,95.0
46,100.0
47,104.0
48,92.0
49,94.0
50,97.0
51,99.0
52,101.0
53,101.0
54,103.0
55,102.0
56,100.0
57,102.0
58,105.0
59,108.0
60,112.0
61,115.0
62,118.0
63,120.0
64,122.0
65,124.0
66,126.0
67,127.0
68,123.0
69,121.0
70,119.0
71,115.0
72,117.0
73,113.0
74,110.0
75,107.0
76,108.0
77,108.0
78,111.0
79,112.0
80,118.0
81,114.0
82,108.0
83,111.0
84,116.0
85,119.0
86,118.0
87,118.0
88,116.0
89,112.0
90,111.0
91,111.0
92,108.0
93,109.0
94,111.0
95,109.0
96,112.0
97,113.0
98,109.0
99,108.0
100,107.0
101,105.0
102,106.0
103,108.0
104,110.0
105,112.0
106,111.0
107,110.0
108,111.0
109,109.0
110,109.0
111,114.0
112,114.0
113,114.0
114,114.0
115,115.0
116,111.0
117,115.0
118,119.0
119,120.0
120,114.0
121,116.0
122,112.0
123,112.0
124,115.0
125,115.0
126,125.0
127,131.0
128,130.0
129,133.0
130,135.0
131,134.0
132,134.0
133,133.0
134,134.0
135,138.0
136,143.0
137,147.0
138,151.0
139,155.0
140,157.0
141,159.0
142,160.0
143,155.0
144,152.0
145,146.0
146,142.0
147,146.0
148,147.0
149,146.0
150,143.0
151,145.0
152,145.0
153,147.0
154,147.0
155,145.0
156,146.0
157,146.0
158,148.0
159,150.0
160,149.0
161,135.0
162,134.0
163,130.0
164,133.0
165,134.0
166,133.0
167,135.0
168,137.0
169,143.0
170,148.0
171,152.0
172,158.0
173,157.0
174,153.0
175,147.0
176,148.0
177,148.0
178,155.0
179,155.0
180,150.0
181,144.0
182,146.0
183,148.0
184,151.0
185,153.0
186,157.0
187,155.0
188,151.0
189,146.0
190,144.0
191,145.0
192,151.0
193,154.0
194,155.0
195,159.0
196,154.0
197,152.0
198,149.0
199,149.0
200,153.0
201,150.0
202,147.0
203,146.0
204,142.0
205,137.0
206,131.0
207,130.0
208,130.0
209,137.0
210,141.0
211,142.0
212,149.0
213,155.0
214,159.0
215,131.0
216,137.0
217,139.0
218,142.0
219,148.0
220,149.0
221,153.0
222,152.0
223,153.0
224,153.0
225,155.0
226,156.0
227,156.0
228,157.0
229,160.0
230,159.0
231,157.0
232,156.0
233,154.0
234,152.0
235,151.0
236,152.0
237,152.0
238,149.0
239,151.0
240,148.0
241,143.0
242,139.0
243,135.0
244,132.0
245,127.0
246,128.0
247,130.0
248,129.0
249,132.0
250,138.0
251,142.0
252,147.0
253,152.0
254,158.0
255,161.0
256,161.0
257,159.0
258,156.0
259,150.0
260,149.0
261,152.0
262,149.0
263,143.0
264,141.0
265,141.0
266,101.0
267,99.0
268,103.0
269,106.0
270,103.0
