timestamp,heart_rate
2020-09-11 13:29:49-07:00,101.0
2020-09-11 13:29:50-07:00,101.0
2020-09-11 13:29:54-07:00,102.0
2020-09-11 13:29:57-07:00,99.0
2020-09-11 13:29:59-07:00,102.0
2020-09-11 13:30:07-07:00,103.0
2020-09-11 13:30:13-07:00,105.0
2020-09-11 13:30:14-07:00,106.0
2020-09-11 13:30:18-07:00,105.0
2020-09-11 13:30:27-07:00,103.0
2020-09-11 13:30:30-07:00,103.0
2020-09-11 13:30:32-07:00,102.0
2020-09-11 13:30:36-07:00,100.0
2020-09-11 13:30:41-07:00,100.0
2020-09-11 13:30:45-07:00,99.0
2020-09-11 13:30:46-07:00,99.0
2020-09-11 13:30:51-07:00,98.0
2020-09-11 13:30:55-07:00,101.0
2020-09-11 13:31:00-07:00,100.0
2020-09-11 13:31:04-07:00,97.0
2020-09-11 13:31:09-07:00,94.0
2020-09-11 13:31:11-07:00,94.0
2020-09-11 13:31:19-07:00,92.0
2020-09-11 13:32:19-07:00,95.0
2020-09-11 13:33:00-07:00,98.0
2020-09-11 13:33:13-07:00,98.0
2020-09-11 13:33:16-07:00,97.0
2020-09-11 13:33:23-07:00,96.0
2020-09-11 13:33:27-07:00,99.0
2020-09-11 13:33:29-07:00,98.0
2020-09-11 13:33:35-07:00,97.0
2020-09-11 13:33:41-07:00,95.0
2020-09-11 13:33:46-07:00,95.0
2020-09-11 13:33:49-07:00,98.0
2020-09-11 13:33:52-07:00,96.0
2020-09-11 13:33:57-07:00,98.0
2020-09-11 13:48:14-07:00,120.0
2020-09-11 13:48:15-07:00,120.0
2020-09-11 13:48:24-07:00,117.0
2020-09-11 13:48:52-07:00,120.0
2020-09-11 13:49:01-07:00,117.0
2020-09-11 13:49:21-07:00,114.0
2020-09-11 13:49:23-07:00,111.0
2020-09-11 13:49:27-07:00,108.0
2020-09-11 13:49:49-07:00,105.0
2020-09-11 13:49:52-07:00,101.0
2020-09-11 13:50:02-07:00,105.0
2020-09-11 13:50:12-07:00,102.0
2020-09-11 13:50:34-07:00,105.0
2020-09-11 13:50:37-07:00,106.0
2020-09-11 13:50:40-07:00,106.0
2020-09-11 13:50:49-07:00,106.0
2020-09-11 13:50:55-07:00,109.0
2020-09-11 13:51:08-07:00,106.0
2020-09-11 13:51:16-07:00,109.0
2020-09-11 13:51:43-07:00,106.0
2020-09-11 13:51:47-07:00,109.0
2020-09-11 13:51:58-07:00,106.0
2020-09-11 13:52:05-07:00,109.0
2020-09-11 13:52:07-07:00,106.0
2020-09-11 13:52:08-07:00,109.0
2020-09-11 13:52:13-07:00,106.0
2020-09-11 13:52:15-07:00,102.0
2020-09-11 13:52:17-07:00,98.0
2020-09-11 13:52:18-07:00,95.0
2020-09-11 13:52:22-07:00,92.0
2020-09-11 13:52:32-07:00,88.0
2020-09-11 13:52:33-07:00,92.0
2020-09-11 13:52:38-07:00,95.0
2020-09-11 13:52:49-07:00,98.0
2020-09-11 13:52:52-07:00,101.0
2020-09-11 13:52:56-07:00,104.0
2020-09-11 13:53:07-07:00,107.0
2020-09-11 13:53:38-07:00,110.0
2020-09-11 13:53:44-07:00,113.0
2020-09-11 13:53:48-07:00,116.0
2020-09-11 13:53:52-07:00,119.0
2020-09-11 13:54:02-07:00,116.0
2020-09-11 13:54:15-07:00,113.0
2020-09-11 13:54:18-07:00,110.0
2020-09-11 13:54:34-07:00,113.0
2020-09-11 13:54:37-07:00,116.0
2020-09-11 13:54:40-07:00,119.0
2020-09-11 13:54:44-07:00,122.0
2020-09-11 13:55:22-07:00,120.0
2020-09-11 14:02:56-07:00,123.0
2020-09-11 14:03:13-07:00,120.0
2020-09-11 14:03:17-07:00,117.0
2020-09-11 14:03:20-07:00,114.0
2020-09-11 14:03:24-07:00,111.0
2020-09-11 14:03:32-07:00,108.0
2020-09-11 14:03:54-07:00,105.0
2020-09-11 14:04:13-07:00,108.0
2020-09-11 14:04:17-07:00,108.0
2020-09-11 14:04:25-07:00,105.0
2020-09-11 14:04:27-07:00,104.0
2020-09-11 14:05:03-07:00,107.0
2020-09-11 14:05:23-07:00,108.0
2020-09-11 14:23:20-07:00,114.0
2020-09-11 14:23:21-07:00,113.0
2020-09-11 14:23:24-07:00,110.0
2020-09-11 14:23:30-07:00,107.0
2020-09-11 14:23:38-07:00,110.0
2020-09-11 14:23:40-07:00,114.0
2020-09-11 14:23:42-07:00,117.0
2020-09-11 14:24:09-07:00,114.0
2020-09-11 14:24:13-07:00,111.0
2020-09-11 14:24:19-07:00,108.0
2020-09-11 14:24:31-07:00,104.0
2020-09-11 14:24:40-07:00,108.0
2020-09-11 14:24:43-07:00,111.0
2020-09-11 14:24:48-07:00,114.0
2020-09-11 14:24:54-07:00,117.0
2020-09-11 14:25:11-07:00,114.0
2020-09-11 14:25:17-07:00,117.0
2020-09-11 14:25:28-07:00,120.0
2020-09-11 14:25:55-07:00,117.0
2020-09-11 14:26:19-07:00,114.0
2020-09-11 14:26:25-07:00,117.0
2020-09-11 14:26:28-07:00,120.0
2020-09-11 14:26:32-07:00,123.0
2020-09-11 14:26:38-07:00,126.0
2020-09-11 14:26:58-07:00,123.0
2020-09-11 14:27:07-07:00,120.0
2020-09-11 14:27:13-07:00,119.0
2020-09-11 14:37:01-07:00,110.0
2020-09-11 14:37:02-07:00,110.0
2020-09-11 14:37:12-07:00,111.0
2020-09-11 14:37:13-07:00,114.0
2020-09-11 14:37:15-07:00,111.0
2020-09-11 14:37:18-07:00,111.0
2020-09-11 14:37:25-07:00,114.0
2020-09-11 14:37:41-07:00,111.0
2020-09-11 14:38:11-07:00,114.0
2020-09-11 14:38:37-07:00,118.0
2020-09-11 14:38:39-07:00,121.0
2020-09-11 14:38:43-07:00,123.0
2020-09-11 14:38:51-07:00,122.0
2020-09-11 14:38:56-07:00,122.0
2020-09-11 14:39:02-07:00,119.0
2020-09-11 14:39:06-07:00,122.0
2020-09-11 14:39:11-07:00,124.0
2020-09-11 14:39:18-07:00,127.0
2020-09-11 14:39:28-07:00,124.0
2020-09-11 14:39:41-07:00,119.0
2020-09-11 14:39:44-07:00,122.0
2020-09-11 14:39:53-07:00,118.0
2020-09-11 14:39:57-07:00,115.0
2020-09-11 14:40:02-07:00,112.0
2020-09-11 14:40:19-07:00,109.0
2020-09-11 14:40:38-07:00,112.0
2020-09-11 14:40:45-07:00,115.0
2020-09-11 14:40:48-07:00,118.0
2020-09-11 14:40:51-07:00,122.0
2020-09-11 14:40:54-07:00,125.0
2020-09-11 14:41:01-07:00,128.0
2020-09-11 14:41:18-07:00,125.0
2020-09-11 14:41:24-07:00,122.0
2020-09-11 14:41:29-07:00,119.0
2020-09-11 14:41:49-07:00,122.0
2020-09-11 14:41:50-07:00,118.0
2020-09-11 14:41:58-07:00,115.0
2020-09-11 14:42:04-07:00,115.0
2020-09-11 14:42:09-07:00,115.0
2020-09-11 14:42:11-07:00,114.0
2020-09-11 14:42:18-07:00,113.0
2020-09-11 14:42:25-07:00,113.0
2020-09-11 14:42:51-07:00,112.0
2020-09-11 14:42:59-07:00,115.0
2020-09-11 14:43:04-07:00,118.0
2020-09-11 14:43:12-07:00,122.0
2020-09-11 14:43:35-07:00,119.0
2020-09-11 14:43:42-07:00,123.0
2020-09-11 14:43:45-07:00,122.0
2020-09-11 14:43:47-07:00,124.0
2020-09-11 14:43:48-07:00,123.0
2020-09-11 14:43:51-07:00,124.0
2020-09-11 14:43:54-07:00,122.0
2020-09-11 14:43:58-07:00,121.0
2020-09-11 14:44:01-07:00,118.0
2020-09-11 14:44:02-07:00,118.0
2020-09-11 14:44:03-07:00,118.0
2020-09-11 14:44:07-07:00,118.0
2020-09-11 14:44:12-07:00,118.0
2020-09-11 14:44:13-07:00,119.0
2020-09-11 14:44:18-07:00,120.0
2020-09-11 14:44:23-07:00,121.0
2020-09-11 14:44:30-07:00,123.0
2020-09-11 14:44:33-07:00,123.0
2020-09-11 14:44:41-07:00,122.0
2020-09-11 14:44:44-07:00,119.0
2020-09-11 14:44:47-07:00,116.0
2020-09-11 14:44:49-07:00,113.0
2020-09-11 14:44:53-07:00,110.0
2020-09-11 14:44:56-07:00,108.0
2020-09-11 14:44:59-07:00,111.0
2020-09-11 14:45:00-07:00,108.0
2020-09-11 14:45:07-07:00,109.0
2020-09-11 14:45:08-07:00,109.0
2020-09-11 14:45:11-07:00,110.0
2020-09-11 14:45:16-07:00,112.0
2020-09-11 14:45:17-07:00,113.0
2020-09-11 14:45:21-07:00,114.0
2020-09-11 14:45:23-07:00,114.0
2020-09-11 14:45:24-07:00,114.0
2020-09-11 14:45:27-07:00,111.0
2020-09-11 14:45:29-07:00,109.0
2020-09-11 14:45:31-07:00,109.0
