timestamp,heart_rate
2020-08-15 10:20:34-07:00,117.0
2020-08-15 10:20:35-07:00,115.0
2020-08-15 10:20:36-07:00,111.0
2020-08-15 10:20:37-07:00,109.0
2020-08-15 10:20:38-07:00,109.0
2020-08-15 10:20:39-07:00,109.0
2020-08-15 10:20:40-07:00,109.0
2020-08-15 10:20:41-07:00,109.0
2020-08-15 10:20:42-07:00,107.0
2020-08-15 10:20:43-07:00,106.0
2020-08-15 10:20:44-07:00,105.0
2020-08-15 10:20:45-07:00,106.0
2020-08-15 10:20:46-07:00,106.0
2020-08-15 10:20:47-07:00,106.0
2020-08-15 10:20:48-07:00,106.0
2020-08-15 10:20:49-07:00,106.0
2020-08-15 10:20:50-07:00,106.0
2020-08-15 10:20:51-07:00,106.0
2020-08-15 10:20:52-07:00,102.0
2020-08-15 10:20:53-07:00,103.0
2020-08-15 10:20:54-07:00,106.0
2020-08-15 10:20:55-07:00,107.0
2020-08-15 10:20:56-07:00,106.0
2020-08-15 10:20:57-07:00,105.0
2020-08-15 10:20:58-07:00,105.0
2020-08-15 10:20:59-07:00,103.0
2020-08-15 10:21:00-07:00,102.0
2020-08-15 10:21:01-07:00,102.0
2020-08-15 10:21:02-07:00,102.0
2020-08-15 10:21:03-07:00,101.0
2020-08-15 10:21:04-07:00,101.0
2020-08-15 10:21:05-07:00,105.0
2020-08-15 10:21:06-07:00,108.0
2020-08-15 10:21:07-07:00,108.0
2020-08-15 10:21:08-07:00,105.0
2020-08-15 10:21:09-07:00,104.0
2020-08-15 10:21:10-07:00,101.0
2020-08-15 10:21:11-07:00,100.0
2020-08-15 10:21:12-07:00,95.0
2020-08-15 10:21:13-07:00,94.0
2020-08-15 10:21:14-07:00,93.0
2020-08-15 10:21:15-07:00,97.0
2020-08-15 10:21:16-07:00,99.0
2020-08-15 10:21:17-07:00,100.0
2020-08-15 10:21:18-07:00,100.0
2020-08-15 10:21:19-07:00,100.0
2020-08-15 10:21:20-07:00,99.0
2020-08-15 10:21:21-07:00,98.0
2020-08-15 10:21:22-07:00,96.0
2020-08-15 10:21:23-07:00,94.0
2020-08-15 10:21:24-07:00,93.0
2020-08-15 10:21:25-07:00,93.0
2020-08-15 10:21:26-07:00,92.0
2020-08-15 10:21:27-07:00,91.0
2020-08-15 10:21:28-07:00,91.0
2020-08-15 10:21:29-07:00,91.0
2020-08-15 10:21:30-07:00,93.0
2020-08-15 10:21:31-07:00,94.0
2020-08-15 10:21:32-07:00,94.0
2020-08-15 10:21:33-07:00,93.0
2020-08-15 10:21:34-07:00,90.0
2020-08-15 10:21:35-07:00,90.0
2020-08-15 10:21:36-07:00,92.0
2020-08-15 10:21:37-07:00,94.0
2020-08-15 10:21:38-07:00,98.0
2020-08-15 10:21:39-07:00,100.0
2020-08-15 10:21:40-07:00,98.0
2020-08-15 10:21:41-07:00,95.0
2020-08-15 10:21:42-07:00,94.0
2020-08-15 10:21:43-07:00,93.0
2020-08-15 10:21:44-07:00,87.0
2020-08-15 10:21:45-07:00,89.0
2020-08-15 10:21:46-07:00,92.0
2020-08-15 10:21:47-07:00,96.0
2020-08-15 10:21:48-07:00,101.0
2020-08-15 10:21:49-07:00,104.0
2020-08-15 10:21:50-07:00,104.0
2020-08-15 10:21:51-07:00,103.0
2020-08-15 10:21:52-07:00,100.0
2020-08-15 10:21:53-07:00,97.0
2020-08-15 10:21:54-07:00,96.0
2020-08-15 10:21:55-07:00,98.0
2020-08-15 10:21:56-07:00,99.0
2020-08-15 10:21:57-07:00,97.0
2020-08-15 10:21:58-07:00,96.0
2020-08-15 10:21:59-07:00,96.0
2020-08-15 10:22:00-07:00,97.0
2020-08-15 10:22:01-07:00,99.0
2020-08-15 10:22:02-07:00,100.0
2020-08-15 10:22:03-07:00,102.0
2020-08-15 10:22:04-07:00,102.0
2020-08-15 10:22:05-07:00,100.0
2020-08-15 10:22:06-07:00,99.0
2020-08-15 10:22:07-07:00,99.0
2020-08-15 10:22:08-07:00,99.0
2020-08-15 10:22:09-07:00,99.0
2020-08-15 10:22:10-07:00,99.0
2020-08-15 10:22:11-07:00,99.0
2020-08-15 10:22:12-07:00,99.0
2020-08-15 10:22:13-07:00,97.0
2020-08-15 10:22:14-07:00,97.0
2020-08-15 10:22:15-07:00,99.0
2020-08-15 10:22:16-07:00,98.0
2020-08-15 10:22:17-07:00,99.0
2020-08-15 10:22:18-07:00,104.0
2020-08-15 10:22:19-07:00,108.0
2020-08-15 10:22:20-07:00,111.0
2020-08-15 10:22:21-07:00,113.0
2020-08-15 10:22:22-07:00,116.0
2020-08-15 10:22:23-07:00,117.0
2020-08-15 10:22:24-07:00,117.0
2020-08-15 10:22:25-07:00,117.0
2020-08-15 10:22:26-07:00,114.0
2020-08-15 10:22:27-07:00,112.0
2020-08-15 10:22:28-07:00,110.0
2020-08-15 10:22:29-07:00,109.0
2020-08-15 10:22:30-07:00,109.0
2020-08-15 10:22:31-07:00,112.0
2020-08-15 10:22:32-07:00,115.0
2020-08-15 10:22:33-07:00,118.0
2020-08-15 10:22:34-07:00,120.0
2020-08-15 10:22:35-07:00,123.0
2020-08-15 10:22:36-07:00,123.0
2020-08-15 10:22:37-07:00,126.0
2020-08-15 10:22:38-07:00,128.0
2020-08-15 10:22:39-07:00,130.0
2020-08-15 10:22:40-07:00,130.0
2020-08-15 10:22:41-07:00,131.0
2020-08-15 10:22:42-07:00,130.0
2020-08-15 10:22:43-07:00,127.0
2020-08-15 10:22:44-07:00,124.0
2020-08-15 10:22:45-07:00,123.0
2020-08-15 10:22:46-07:00,124.0
2020-08-15 10:22:47-07:00,126.0
2020-08-15 10:22:48-07:00,126.0
2020-08-15 10:22:49-07:00,125.0
2020-08-15 10:22:50-07:00,125.0
2020-08-15 10:22:51-07:00,126.0
2020-08-15 10:22:52-07:00,127.0
2020-08-15 10:22:53-07:00,127.0
2020-08-15 10:22:54-07:00,128.0
2020-08-15 10:22:55-07:00,129.0
2020-08-15 10:22:56-07:00,129.0
2020-08-15 10:22:57-07:00,129.0
2020-08-15 10:22:58-07:00,129.0
2020-08-15 10:22:59-07:00,130.0
2020-08-15 10:23:00-07:00,128.0
2020-08-15 10:23:01-07:00,126.0
2020-08-15 10:23:02-07:00,124.0
2020-08-15 10:23:03-07:00,123.0
2020-08-15 10:23:04-07:00,124.0
2020-08-15 10:23:05-07:00,125.0
2020-08-15 10:23:06-07:00,126.0
2020-08-15 10:23:07-07:00,127.0
2020-08-15 10:23:08-07:00,129.0
2020-08-15 10:23:09-07:00,131.0
2020-08-15 10:23:10-07:00,132.0
2020-08-15 10:23:11-07:00,134.0
2020-08-15 10:23:12-07:00,136.0
2020-08-15 10:23:13-07:00,137.0
2020-08-15 10:23:14-07:00,137.0
2020-08-15 10:23:15-07:00,137.0
2020-08-15 10:23:16-07:00,137.0
2020-08-15 10:23:17-07:00,138.0
2020-08-15 10:23:18-07:00,138.0
2020-08-15 10:23:19-07:00,138.0
2020-08-15 10:23:20-07:00,138.0
2020-08-15 10:23:21-07:00,137.0
2020-08-15 10:23:22-07:00,137.0
2020-08-15 10:23:23-07:00,133.0
2020-08-15 10:23:24-07:00,130.0
2020-08-15 10:23:25-07:00,129.0
2020-08-15 10:23:26-07:00,129.0
2020-08-15 10:23:27-07:00,130.0
2020-08-15 10:23:28-07:00,130.0
2020-08-15 10:23:29-07:00,130.0
2020-08-15 10:23:30-07:00,130.0
2020-08-15 10:23:31-07:00,131.0
2020-08-15 10:23:32-07:00,133.0
2020-08-15 10:23:33-07:00,134.0
2020-08-15 10:23:34-07:00,134.0
2020-08-15 10:23:35-07:00,132.0
2020-08-15 10:23:36-07:00,130.0
2020-08-15 10:23:37-07:00,124.0
2020-08-15 10:23:38-07:00,120.0
2020-08-15 10:23:39-07:00,119.0
2020-08-15 10:23:40-07:00,119.0
2020-08-15 10:23:41-07:00,121.0
2020-08-15 10:23:42-07:00,123.0
2020-08-15 10:23:43-07:00,124.0
2020-08-15 10:23:44-07:00,124.0
2020-08-15 10:23:45-07:00,124.0
2020-08-15 10:23:46-07:00,124.0
2020-08-15 10:23:47-07:00,124.0
2020-08-15 10:23:48-07:00,124.0
2020-08-15 10:23:49-07:00,124.0
2020-08-15 10:23:50-07:00,124.0
