timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,temperature,cadence,fractional_cadence
2020-08-18 17:37:52-07:00,,,,,,,,,,,
2020-08-18 17:37:52-07:00,,,,,,,,,,,
2020-08-18 17:37:52-07:00,,,,,,,,,,,
2020-08-18 17:37:52-07:00,,,,,,,,,,,
2020-08-18 17:37:52-07:00,,,,,,,,,,,
2020-08-18 17:37:52-07:00,,,,,,,,,,,
2020-08-18 17:37:52-07:00,49.268817538395524,-123.19171965122223,0.0018,9.199999999999989,9.199999999999989,3.7944000000000004,3.7944000000000004,63,,59,0.0
2020-08-18 17:37:53-07:00,49.26882122643292,-123.19174605421722,0.00376,9.199999999999989,9.199999999999989,5.7096,5.7096,67,,59,0.0
2020-08-18 17:37:56-07:00,49.26884503103793,-123.19184026680887,0.011130000000000001,8.600000000000023,8.600000000000023,6.8508000000000004,6.8508000000000004,71,,60,0.0
2020-08-18 17:37:58-07:00,49.268882581964135,-123.19189818575978,0.01705,8.800000000000011,8.800000000000011,8.499600000000001,8.499600000000001,76,,60,0.0
2020-08-18 17:38:00-07:00,49.268928011879325,-123.191948980093,0.02325,9.199999999999989,9.199999999999989,8.8344,8.8344,79,,60,0.0
2020-08-18 17:38:04-07:00,49.269021805375814,-123.19202902726829,0.03505,9.399999999999977,9.399999999999977,9.4068,9.4068,73,,89,0.0
2020-08-18 17:38:05-07:00,49.26904544234276,-123.1920425221324,0.03785,9.399999999999977,9.399999999999977,9.4392,9.4392,73,,89,0.0
2020-08-18 17:38:09-07:00,49.2691536527127,-123.19207278080285,0.05006,9.800000000000011,9.800000000000011,10.9152,10.9152,82,,91,0.0
2020-08-18 17:38:10-07:00,49.26918969489634,-123.19207445718348,0.05407,9.800000000000011,9.800000000000011,11.0844,11.0844,87,,91,0.0
2020-08-18 17:38:11-07:00,49.269223138689995,-123.19207412190735,0.05779,10.0,10.0,11.5884,11.5884,85,,90,0.0
2020-08-18 17:38:12-07:00,49.26925775595009,-123.1920716073364,0.061630000000000004,10.199999999999989,10.199999999999989,11.5884,11.5884,88,,90,0.0
2020-08-18 17:38:13-07:00,49.26929539069533,-123.19206825457513,0.06583,10.399999999999977,10.399999999999977,11.79,11.79,94,,91,0.0
2020-08-18 17:38:16-07:00,49.26941013894975,-123.19206548854709,0.07858,10.800000000000011,10.800000000000011,12.2256,12.2256,97,,93,0.0
2020-08-18 17:38:19-07:00,49.26950929686427,-123.19207462482154,0.08962,11.600000000000023,11.600000000000023,12.528,12.528,103,,93,0.0
2020-08-18 17:38:21-07:00,49.269575932994485,-123.19208049215376,0.09704,11.600000000000023,11.600000000000023,12.6288,12.6288,107,,92,0.0
2020-08-18 17:38:24-07:00,49.269664864987135,-123.19208149798214,0.10692,11.199999999999989,11.199999999999989,12.6648,12.6648,110,,90,0.0
2020-08-18 17:38:30-07:00,49.269871562719345,-123.19208443164825,0.12991,8.800000000000011,8.800000000000011,12.6648,12.6648,111,,90,0.0
2020-08-18 17:38:34-07:00,49.269990753382444,-123.19209155626595,0.1432,8.0,8.0,12.6288,12.6288,114,,90,0.0
2020-08-18 17:38:35-07:00,49.27001221105456,-123.19211293011904,0.14605,7.800000000000011,7.800000000000011,12.564000000000002,12.564000000000002,115,,90,0.0
2020-08-18 17:38:37-07:00,49.27003777585924,-123.1921963300556,0.15283000000000002,7.800000000000011,7.800000000000011,12.3948,12.3948,120,,90,0.0
2020-08-18 17:38:38-07:00,49.270045571029186,-123.19224980659783,0.15680000000000002,8.399999999999977,8.399999999999977,12.3948,12.3948,120,,89,0.0
2020-08-18 17:38:43-07:00,49.27005982026458,-123.19252833724022,0.17712999999999998,9.199999999999989,9.199999999999989,12.596400000000001,12.596400000000001,118,,92,0.0
2020-08-18 17:38:49-07:00,49.27005269564688,-123.19285129196942,0.20067,10.0,10.0,12.898800000000001,12.898800000000001,118,,92,0.0
2020-08-18 17:38:54-07:00,49.27003744058311,-123.19309897720814,0.21878,10.600000000000023,10.600000000000023,12.9672,12.9672,121,,91,0.0
2020-08-18 17:38:57-07:00,49.270025538280606,-123.19325043819845,0.2299,10.800000000000011,10.800000000000011,12.9672,12.9672,118,,92,0.0
2020-08-18 17:39:03-07:00,49.27000458352268,-123.19354967214167,0.25191,11.600000000000023,11.600000000000023,13.068,13.068,119,,92,0.0
2020-08-18 17:39:09-07:00,49.27006057463586,-123.19381873123348,0.27254,11.399999999999977,11.399999999999977,12.999600000000001,12.999600000000001,120,,90,0.0
2020-08-18 17:39:13-07:00,49.27011497318745,-123.1939797475934,0.28567000000000004,10.399999999999977,10.399999999999977,12.9312,12.9312,117,,90,0.0
2020-08-18 17:39:20-07:00,49.27018412388861,-123.19427412003279,0.30857999999999997,10.199999999999989,10.199999999999989,12.798,12.798,119,,91,0.0
2020-08-18 17:39:27-07:00,49.27018244750798,-123.19458902813494,0.33148,11.0,11.0,12.596400000000001,12.596400000000001,121,,92,0.0
2020-08-18 17:39:34-07:00,49.27012913860381,-123.19490083493292,0.35492,10.800000000000011,10.800000000000011,12.528,12.528,120,,92,0.0
2020-08-18 17:39:40-07:00,49.27011187188327,-123.1951975543052,0.37654000000000004,12.0,12.0,12.495600000000001,12.495600000000001,119,,90,0.0
2020-08-18 17:39:47-07:00,49.27012897096574,-123.19549469277263,0.39826,12.399999999999977,12.399999999999977,12.3948,12.3948,120,,89,0.0
2020-08-18 17:39:54-07:00,49.27019267342985,-123.19577188231051,0.41967000000000004,11.600000000000023,11.600000000000023,12.1248,12.1248,121,,90,0.0
2020-08-18 17:40:00-07:00,49.27026408724487,-123.19603876210749,0.44065,10.600000000000023,10.600000000000023,11.9916,11.9916,121,,90,0.0
