timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,temperature,cadence,fractional_cadence
2020-08-30 08:42:57-07:00,,,0.0,309.6,,,,109,23,,
2020-08-30 08:42:58-07:00,,,0.0,309.6,,,,109,23,,
2020-08-30 08:42:59-07:00,,,0.0,309.6,,,,111,23,,
2020-08-30 08:43:00-07:00,,,0.0,309.6,,,,112,23,,
2020-08-30 08:43:01-07:00,,,0.0,309.6,,,,113,23,,
2020-08-30 08:43:02-07:00,,,0.0,309.6,,,,115,23,,
2020-08-30 08:43:03-07:00,,,0.0,309.6,,,,116,23,,
2020-08-30 08:43:04-07:00,,,0.0,309.6,,,,117,23,,
2020-08-30 08:43:05-07:00,,,0.0,309.6,,,,116,23,,
2020-08-30 08:43:06-07:00,,,0.0,309.6,,,,116,23,,
2020-08-30 08:43:07-07:00,,,0.0,309.6,,,,114,23,,
2020-08-30 08:43:08-07:00,,,0.0,309.6,,,,114,23,,
2020-08-30 08:43:09-07:00,,,0.0,309.6,,,,114,23,,
2020-08-30 08:43:10-07:00,,,0.0,309.6,,,,114,23,,
2020-08-30 08:43:11-07:00,,,0.0,309.6,,,,114,23,,
2020-08-30 08:43:12-07:00,,,0.0,309.6,,,,,23,,
2020-08-30 08:43:13-07:00,,,0.0,309.6,,,,112,23,,
2020-08-30 08:43:14-07:00,,,0.0,309.6,,,,114,23,,
2020-08-30 08:43:15-07:00,,,0.0,309.6,,,,116,23,,
2020-08-30 08:43:16-07:00,,,0.0,309.6,,,,117,23,,
2020-08-30 08:43:17-07:00,,,0.0,309.6,,,,117,23,,
2020-08-30 08:43:18-07:00,,,0.0,309.6,,,,116,23,,
2020-08-30 08:43:19-07:00,,,0.0,309.6,,,,114,23,,
2020-08-30 08:43:20-07:00,,,0.0,309.6,,,,109,23,,
2020-08-30 08:43:21-07:00,,,0.0,309.6,,,,105,22,,
2020-08-30 08:43:22-07:00,,,0.0,309.6,,,,105,23,,
2020-08-30 08:43:23-07:00,,,0.0,309.6,,,,105,22,,
2020-08-30 08:43:24-07:00,,,0.0,309.6,,,,105,22,,
2020-08-30 08:43:25-07:00,,,0.0,309.6,,,,106,22,,
2020-08-30 08:43:26-07:00,,,0.0,309.6,,,,107,22,,
2020-08-30 08:43:27-07:00,,,0.0,309.6,,,,112,22,,
