epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.007085579841200111,0.053737182,0.0070855794,0.009576280223201549,0.07165973633527756,0.009576277807354927
1,0.0033675198612772646,0.042541113,0.00336752,0.008576235753136614,0.06797953695058823,0.00857624039053917
2,0.0032060465875604917,0.04167441,0.0032060451,0.00796628473113381,0.06817507743835449,0.007966285571455956
3,0.0029399666430009893,0.03932626,0.0029399665,0.007479838540743837,0.062305837869644165,0.007479834370315075
4,0.0028563548009872862,0.038788117,0.0028563556,0.006919310616208721,0.0608726441860199,0.006919309496879578
5,0.002802999532886436,0.038088586,0.0028029978,0.006834569320359166,0.06004408001899719,0.006834566593170166
6,0.002752187276877825,0.03747839,0.0027521886,0.007228678676664389,0.06129425764083862,0.007228680420666933
7,0.0027772120249601583,0.03772237,0.0027772149,0.006735132847967735,0.05860906094312668,0.006735134869813919
8,0.0027398336325029572,0.037418578,0.0027398318,0.006673432122165071,0.05854148417711258,0.006673429626971483
9,0.0026945656175370813,0.037020616,0.002694565,0.006710295897182176,0.05823889747262001,0.006710292771458626
10,0.0027044734024228383,0.037159596,0.0027044746,0.0068508201623537525,0.06087913736701012,0.006850821431726217
11,0.0027004896815114895,0.03706777,0.0027004883,0.007568834155958164,0.06161258742213249,0.0075688352808356285
12,0.002670709331988798,0.036836505,0.0026707097,0.007732112457393311,0.06417612731456757,0.00773211196064949
13,0.0026236739440598064,0.036374077,0.0026236724,0.0071062238388080725,0.06006687879562378,0.0071062250062823296
14,0.0025912022568958318,0.03614266,0.002591201,0.007035294880775202,0.05977461487054825,0.00703528942540288
15,0.0025773399464068866,0.036125638,0.0025773405,0.0076193397577817325,0.06345109641551971,0.007619342301040888
16,0.0025746085963382396,0.03610833,0.00257461,0.007178517037332516,0.06082778424024582,0.007178518455475569
17,0.00255065025302638,0.035858247,0.0025506513,0.007666991254975647,0.06443686038255692,0.007666988763958216
18,0.002523714575449648,0.03558099,0.0025237151,0.007899492261466752,0.06662976741790771,0.007899496704339981
19,0.0025143877074346004,0.035609275,0.0025143865,0.007317123590292569,0.06348664313554764,0.007317126262933016
20,0.0025016147362636994,0.035540376,0.0025016146,0.007279291683981777,0.06106994301080704,0.007279291283339262
21,0.0025199811687852515,0.035733,0.0025199824,0.007557205466409909,0.06245218589901924,0.007557207252830267
22,0.0024970451886478762,0.03544475,0.0024970449,0.007221998057420756,0.06244031339883804,0.007221996784210205
23,0.002514467047916783,0.035598814,0.0025144655,0.00696531352309827,0.05966699495911598,0.006965315900743008
