Time,HR
0,86.0
1,87.00000000000001
2,87.0
3,87.00000000000001
4,88.0
5,86.99999999999999
6,86.00000000000003
7,84.99999999999999
8,85.00000000000003
9,87.0
10,88.00000000000001
11,90.00000000000003
12,93.00000000000001
13,94.0
14,94.0
15,93.99999999999999
16,94.00000000000001
17,94.00000000000001
18,93.88588329790566
19,93.65513831315464
20,93.3468241718263
21,93.00000000000001
22,92.99999999999999
23,94.0
24,94.00000000000003
25,95.0
26,97.0
27,98.0
28,98.00000000000001
29,98.99999999999999
30,100.00000000000003
31,98.99999999999999
32,99.0
33,99.00000000000003
34,99.00000000000001
35,99.00000000000001
36,99.24064648712661
37,99.60435687768201
38,99.84774402467409
39,99.72742078111078
40,98.99999999999999
41,98.00000000000001
42,98.0
43,96.99999999999997
44,96.99999999999999
45,97.0
46,95.99999999999999
47,94.99999999999997
48,94.0
49,93.00000000000003
50,93.00000000000001
51,92.0
52,92.00000000000001
53,90.99999999999999
54,92.0
55,93.0
56,93.99999999999997
57,95.00000000000001
58,96.0
59,97.99999999999997
60,100.0
61,101.0
62,101.99999999999999
63,102.00000000000003
64,101.99999999999999
65,101.00000000000001
66,99.0
67,98.99999999999999
68,99.0
69,99.99999999999999
70,99.99999999999997
71,101.99999999999997
72,103.0
73,103.0
74,103.0
75,103.0
76,102.99999999999999
77,102.0
78,101.0
79,100.99999999999996
80,99.00000000000001
81,98.0
82,98.0
83,98.99999999999997
84,98.0
85,97.0
86,97.00000000000001
87,97.00000000000001
88,94.0
89,92.0
90,89.99999999999999
91,88.99999999999997
92,87.0
93,86.0
94,86.00000000000001
95,86.0
96,88.0
97,88.99999999999999
98,89.0
99,87.0
100,87.00000000000001
101,87.00000000000001
102,88.0
103,88.00000000000001
104,88.0
105,87.99999999999997
106,88.0
107,88.0
108,89.0
109,89.0
110,89.0
111,89.0
112,89.0
113,89.00000000000001
114,90.0
115,91.0
116,91.00000000000004
117,90.00000000000001
118,89.99999999999999
119,90.00000000000003
120,88.00000000000003
121,87.00000000000003
122,86.00000000000003
123,86.00000000000003
124,86.00000000000001
125,85.00000000000003
126,83.00000000000001
127,82.00000000000003
128,80.00000000000001
129,80.0
130,80.0
131,81.0
132,82.00000000000001
133,83.0
134,85.0
135,87.0
136,89.0
137,89.99999999999999
138,89.99999999999999
139,90.0
140,87.99999999999999
141,89.0
142,89.0
143,92.00000000000003
144,93.99999999999999
145,94.99999999999999
146,97.0
147,99.99999999999999
148,103.0
149,106.0
150,108.0
151,110.99999999999997
152,111.99999999999997
153,113.0
154,113.99999999999997
155,113.99999999999997
156,113.99999999999996
157,114.00000000000001
158,112.99999999999997
159,111.99999999999997
160,110.0
161,110.0
162,110.0
163,111.0
164,112.0
165,112.00000000000001
166,113.0
167,111.99999999999999
168,112.0
169,112.0
170,110.99999999999999
171,110.99999999999997
172,111.0
173,112.0
174,112.0
175,113.0
176,112.99999999999999
177,111.99999999999999
178,110.99999999999994
179,108.99999999999999
180,108.0
181,107.0
182,106.99999999999999
183,107.0
184,107.0
185,107.0
186,107.00000000000001
187,106.99999999999997
188,106.0
189,106.0
190,105.0
191,106.0
192,106.0
193,107.0
194,107.99999999999997
195,109.0
196,111.0
197,112.00000000000001
198,111.99999999999997
199,113.99999999999997
200,114.00000000000001
201,114.0
202,113.99999999999999
203,114.0
204,112.0
205,111.0
206,110.0
207,109.0
208,107.99999999999999
209,107.0
210,106.99999999999999
211,105.00000000000001
212,103.0
213,101.99999999999997
214,102.0
215,103.0
216,102.99999999999999
217,105.0
218,107.00000000000001
219,109.00000000000001
220,109.99999999999999
221,111.0
222,111.99999999999999
223,113.0
224,114.0
225,113.00000000000001
226,113.0
227,112.0
228,112.0
229,111.99999999999997
230,113.00000000000004
231,113.99999999999999
232,115.99999999999997
233,116.00000000000003
234,115.00000000000006
235,113.00000000000006
236,111.00000000000009
237,108.00000000000007
238,107.00000000000006
239,105.00000000000009
240,103.00000000000003
241,103.00000000000001
242,103.0
243,103.00000000000003
244,102.00000000000006
245,101.00000000000003
246,101.0
247,100.99999999999999
248,101.99999999999996
249,102.99999999999999
250,103.99999999999997
251,105.0
252,105.0
253,104.00000000000009
254,103.00000000000001
255,103.99999999999997
256,103.99999999999999
257,106.0
258,108.0
259,108.99999999999997
260,109.00000000000001
261,109.99999999999999
262,110.0
263,112.0
264,112.99999999999999
265,115.0
266,116.99999999999999
267,118.0
268,120.0
269,120.99999999999997
270,122.99999999999999
271,124.99999999999999
272,127.99999999999999
273,129.0
274,131.00000000000003
275,131.0
276,130.0
277,126.99999999999997
278,123.99999999999999
279,122.0
280,119.99999999999999
281,120.0
282,120.0
283,122.00000000000001
284,122.00000000000001
285,123.0
286,124.0
287,123.99999999999997
288,124.99999999999997
289,124.99999999999999
290,125.99999999999999
291,126.0
292,127.0
293,127.0
294,129.00000000000003
295,129.0
296,130.0
297,130.0
298,131.0
299,131.0
300,131.99999999999997
301,133.0
302,134.0
303,134.0
304,134.00000000000003
305,135.0
306,135.0
307,135.00000000000006
308,135.00000000000003
309,135.0
310,135.0
311,135.0
312,135.0
313,136.0
314,136.0
315,136.00000000000003
316,137.00000000000003
317,138.0
318,139.0
319,140.0
320,141.0
321,141.99999999999997
322,143.0
323,143.0
324,144.00000000000003
325,143.0
326,144.0
327,142.99999999999997
328,144.0
329,143.0
330,143.0
331,143.0
332,142.00000000000003
333,141.0
334,140.0
335,139.0
336,138.0
337,137.00000000000003
338,135.99999999999997
339,135.00000000000003
340,134.0
341,135.0
342,135.0
343,135.99999999999997
344,135.99999999999997
345,134.0
346,133.0
347,130.99999999999997
348,130.0
349,130.0
350,130.0
351,126.99999999999999
352,127.0
353,127.00000000000001
354,126.99999999999997
355,126.99999999999997
356,126.99999999999999
357,128.0
358,127.99999999999999
359,128.0
360,128.99999999999997
361,130.0
362,131.0
363,131.0
364,132.99999999999997
365,132.99999999999997
366,132.99999999999997
367,133.0
368,133.00000000000003
369,133.99999999999997
370,133.99999999999997
371,135.0
372,135.0
373,135.99999999999997
374,137.0
375,137.99999999999997
376,139.0
377,140.0
378,140.0
379,140.00000000000003
380,140.0
381,140.0
382,140.0
383,139.0
384,139.0
385,139.0
386,140.0
387,140.0
388,140.0
389,140.99999999999997
390,141.99999999999997
391,142.99999999999997
392,144.0
393,145.0
394,146.0
395,146.99999999999994
396,147.0
397,147.00000000000003
398,145.99999999999997
399,145.0
400,144.00000000000003
401,144.0
402,142.99999999999997
403,142.0
404,140.99999999999997
405,139.99999999999997
406,139.00000000000003
407,138.0
408,135.99999999999997
409,135.00000000000003
410,133.99999999999997
411,134.0
412,133.99999999999997
413,133.99999999999997
414,134.99999999999997
415,135.0
416,134.0
417,134.0
418,131.0
419,129.00000000000003
420,127.0
421,126.0
422,126.99999999999999
423,126.99999999999999
424,128.0
425,128.0
426,127.0
427,125.00000000000001
428,124.0
429,123.0
430,122.99999999999997
431,122.0
432,121.0
433,121.00000000000001
434,122.00000000000001
435,122.0
436,123.99999999999997
437,125.00000000000001
438,125.99999999999997
439,127.0
440,127.0
441,125.99999999999997
442,126.0
443,125.0
444,125.00000000000001
445,126.0
446,126.99999999999999
447,128.0
448,128.0
449,130.00000000000003
450,131.00000000000003
451,132.0
452,133.0
453,133.00000000000003
454,134.0
455,134.0
456,135.0
457,136.00000000000003
458,136.99999999999991
459,138.99999999999994
460,139.99999999999991
461,141.99999999999991
462,142.99999999999991
463,144.9999999999999
464,145.99999999999991
465,147.99999999999994
466,148.99999999999997
467,149.99999999999997
468,150.99999999999997
469,151.99999999999997
470,152.99999999999997
471,153.99999999999994
472,155.0
473,155.0
474,155.99999999999997
475,155.0
476,155.99999999999997
477,156.00000000000006
478,155.99999999999994
479,156.99999999999994
480,157.00000000000003
481,156.99999999999997
482,158.0
483,158.00000000000006
484,157.99999999999997
485,158.99999999999997
486,159.00000000000003
487,159.99999999999997
488,160.00000000000003
489,160.0
490,160.00000000000003
491,160.00000000000006
492,159.00000000000009
493,158.00000000000006
494,157.0000000000001
495,155.0000000000001
496,154.00000000000006
497,153.0000000000001
498,152.00000000000009
499,151.0
500,151.00000000000003
501,150.00000000000006
502,150.00000000000006
503,149.00000000000006
504,148.00000000000009
505,147.00000000000003
506,147.00000000000003
507,146.00000000000009
508,145.0
509,145.00000000000006
510,144.0
511,144.00000000000003
512,144.00000000000003
513,144.0
514,143.99999999999997
515,144.00000000000003
516,144.0
517,144.0
518,143.0
519,142.0
520,140.0
521,140.0
522,138.00000000000003
523,137.00000000000003
524,135.99999999999997
525,135.00000000000003
526,133.99999999999997
527,134.0
528,134.0
529,133.0
530,133.0
531,133.0
532,132.0
533,131.00000000000003
534,131.0
535,130.00000000000003
536,129.0
537,129.0
538,129.00000000000003
539,129.0
540,130.0
541,130.0
542,131.0
543,131.00000000000003
544,132.0
545,132.99999999999997
546,132.99999999999997
547,132.99999999999997
548,133.0
549,131.99999999999997
550,132.0
551,132.0
552,132.0
553,131.99999999999997
554,133.0
555,133.0
556,134.0
557,134.0
558,135.0
559,136.0
560,135.99999999999997
561,137.00000000000006
562,137.99999999999997
563,140.0
564,141.0
565,142.99999999999997
566,144.0
567,145.0
568,146.99999999999997
569,148.0
570,149.0
571,150.00000000000003
572,150.99999999999997
573,150.99999999999997
574,150.99999999999997
575,151.0
576,152.0
577,151.99999999999997
578,153.0
579,153.0
580,154.0
581,154.0
582,154.0
583,153.0
584,152.99999999999997
585,150.00000000000003
586,148.99999999999997
587,147.0
588,147.0
