epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0062012199449585515,0.049901646,0.0062012207,0.009093945335953483,0.07264424860477448,0.009093942120671272
1,0.0032713566356955943,0.042005885,0.0032713567,0.007658272873978396,0.06434756517410278,0.00765827763825655
2,0.0030315816958725807,0.04015373,0.0030315842,0.007470246176271969,0.06245310232043266,0.007470244076102972
3,0.002908043054564294,0.039142825,0.0029080424,0.0074387988833327775,0.06419350951910019,0.007438803091645241
4,0.0028193487461527786,0.038297553,0.0028193502,0.007071882395442387,0.060014281421899796,0.007071884348988533
5,0.002781467120857949,0.03789561,0.0027814675,0.007266283753338525,0.06477953493595123,0.007266285829246044
6,0.002763295910918194,0.03773973,0.0027632958,0.006918122786532185,0.05940275266766548,0.006918121594935656
7,0.0027585675113807606,0.037631206,0.0027585663,0.006826954234024665,0.05906742066144943,0.006826950237154961
8,0.002744965033486694,0.037509564,0.0027449662,0.007365188040553589,0.06488728523254395,0.007365191821008921
9,0.0026980737930879864,0.036918946,0.002698074,0.006953774580774465,0.05957818031311035,0.006953776814043522
10,0.0027067354004102545,0.037135463,0.002706737,0.007216245812524764,0.06163287162780762,0.007216243539005518
11,0.0026620090694633707,0.036653217,0.0026620093,0.006890294565609203,0.059240490198135376,0.00689029460772872
12,0.00266328561759814,0.03673117,0.0026632852,0.007225609664776756,0.06187177821993828,0.00722561264410615
13,0.0026452237196171622,0.036530074,0.0026452227,0.006833990371671035,0.059416014701128006,0.006833986379206181
14,0.002616180378222254,0.036184248,0.0026161806,0.007169294225206,0.06040717288851738,0.007169291377067566
15,0.002641394326418584,0.036473528,0.0026413982,0.006968988466325452,0.05950101464986801,0.006968985311686993
16,0.0026148763714636514,0.036192268,0.0026148737,0.006995199737938482,0.060720935463905334,0.006995198782533407
17,0.002593205916888222,0.036077086,0.0025932095,0.006739331386107754,0.06118619069457054,0.0067393300123512745
18,0.002578042556147044,0.035986725,0.0025780422,0.007069065169323326,0.0609724335372448,0.007069066632539034
19,0.0025556925688721235,0.035695493,0.0025556923,0.0066528358417139956,0.05928053706884384,0.00665283715352416
20,0.0025527313935073312,0.035633303,0.0025527314,0.0069821648720929,0.06005915626883507,0.006982168182730675
21,0.00254148833958294,0.03555434,0.0025414883,0.007072558555438469,0.06066133826971054,0.00707256281748414
22,0.002545850028125545,0.03568606,0.002545853,0.00719772028255677,0.060041796416044235,0.007197725120931864
23,0.0025467378998247597,0.035674937,0.0025467381,0.007391356133487105,0.060777753591537476,0.0073913573287427425
24,0.002502491401440359,0.035214942,0.0025024917,0.006792715355570307,0.059208303689956665,0.006792712956666946
25,0.0025291962258297347,0.03555678,0.0025291946,0.00704906222659558,0.06250947713851929,0.007049061357975006
26,0.0025159134501557385,0.035435695,0.0025159144,0.008243576783625148,0.06572433561086655,0.008243576623499393
27,0.0025114512738455995,0.035427436,0.0025114529,0.0071570225084287365,0.0624874010682106,0.007157021667808294
28,0.002495540346235547,0.035355493,0.002495542,0.007651976844185132,0.06309235841035843,0.00765197305008769
29,0.002485697766644088,0.03508856,0.0024857002,0.006920954316721556,0.05938003957271576,0.006920958403497934
30,0.0025134748523523943,0.03550657,0.0025134743,0.006979838893187226,0.06072266027331352,0.00697983056306839
31,0.002461195564556766,0.03501703,0.0024611969,0.007525376038904088,0.06192813813686371,0.007525376044213772
32,0.002462520839125911,0.035026677,0.0024625214,0.007136901655842286,0.060855284333229065,0.007136903703212738
33,0.0024803761609488127,0.03512149,0.0024803737,0.007366929066254174,0.06398746371269226,0.007366927806288004
34,0.0024615408669051613,0.035059724,0.0024615435,0.007705369552174697,0.06366244703531265,0.007705370429903269
